musaID,toPredict,distance_to_city_hall,distance_to_nearest_metro,distance_to_nearest_hospital,distance_to_nearest_school,distance_to_nearest_park,distance_to_nearest_water,NAMELSAD,Percent_Bachelor.s.degree.or.higher,Estimate_Mean.family.income..dollars.,Percent_Management..business..science..and.arts.occupations,Percent_Different.state,Percent_With.private.health.insurance,Percent_White.alone,LPSS_PER1000,HPSS_PER1000
53,MODELLING,59932.99031,26552.42392,9299.818041,3809.386338,873.0661953,890.7346511,Census Tract 351,44.8,106953,46.9,14.1,80.9,72.6,0.92764378,0.11595547
54,MODELLING,11999.28664,6056.741614,9065.125212,721.8852835,1631.788528,3744.530239,Census Tract 151.02,13.5,75111,36.2,9,33.9,1.1,32.50773994,2.12848297
55,MODELLING,18534.85738,4926.142834,9019.43054,2302.634351,968.2313276,3052.662428,Census Tract 111,6.6,61142,12.5,6.2,47.7,2,28.84615385,4.50721154
56,MODELLING,44746.45553,10894.58124,10417.34833,1500.968161,641.9171889,4156.262258,Census Tract 326,25.4,98873,42,9.2,67.9,59.1,23.74301676,2.79329609
57,MODELLING,10488.91219,2332.743277,2180.599841,518.1632938,648.7472128,6320.1788,Census Tract 37.01,30.8,72864,39.6,12.7,61.3,23.4,42.06008584,3.43347639
58,MODELLING,50271.12216,16650.22715,7040.768665,450.6225705,1018.380202,806.3120138,Census Tract 337.02,40.3,100584,32.9,12.9,76.9,55.6,6.36942675,1.06157113
59,MODELLING,46079.22113,13887.24751,5027.319876,652.9692822,1604.676346,2713.191213,Census Tract 338,19,95267,30.5,7.2,62,60.8,12.5120308,0.96246391
60,MODELLING,8018.145378,1691.902274,2335.513353,574.6599226,1029.442604,6246.314811,Census Tract 30.02,48.9,104351,53.4,32.7,59.2,34.3,86.48648649,5.40540541
61,MODELLING,23749.50413,6483.975962,6716.570442,1645.377057,559.4483784,4808.089454,Census Tract 114,24.5,81441,39.7,15.2,57.3,4.3,47.13114754,4.09836066
62,MODELLING,13995.32861,1843.562251,2473.995446,960.1155543,276.5808406,3702.918078,Census Tract 160.02,59.8,120477,61.6,25.4,72.4,82.1,42.17687075,10.88435374
63,MODELLING,14191.95011,2831.835484,3599.215016,1632.578548,1402.002833,2634.091815,Census Tract 160.01,53.4,123919,64.3,21.4,77.1,88,28.39116719,8.67507886
64,MODELLING,54074.72947,21655.79777,7049.977771,3711.796643,773.5872319,1632.351886,Census Tract 342,39.8,100474,46.5,14.2,79.5,64.7,1.80423996,0
65,MODELLING,4575.631538,1655.676624,2899.216246,315.7250639,310.2812014,3956.997542,Census Tract 134.02,83,197472,74.3,48.1,91.5,72.1,15.23178808,4.13907285
66,MODELLING,22490.48339,12986.35868,9391.961369,1407.691601,883.495013,2407.563728,Census Tract 63,7.5,49204,20.3,17.6,58.9,4.1,121.037464,6.48414986
67,MODELLING,12497.61038,1203.461608,2998.920763,374.1286572,831.4902231,4736.015154,Census Tract 40.02,28.7,93189,35.9,11.8,71.5,73.9,56.45851155,1.92472198
68,MODELLING,11084.50935,1041.618312,1660.110764,177.4353063,668.7864968,5888.226149,Census Tract 40.01,39.2,93833,52.8,29.7,63.7,71.9,87.1459695,6.26361656
69,MODELLING,38230.82154,5194.078167,12048.4353,214.6740414,1188.152337,3780.468682,Census Tract 321,23.5,56566,32.1,12,43.1,37.4,14.68048359,0
70,MODELLING,14736.23641,2481.524368,4770.386926,902.0396624,330.4427865,4509.769565,Census Tract 79,71.6,204429,66.2,37.4,83.7,58,27.74274905,8.51197982
71,MODELLING,11780.01288,1252.697211,5331.334886,281.2800941,933.8892568,5456.411409,Census Tract 153,15,94577,24.5,25.5,71.9,40.4,86.13445378,6.30252101
72,MODELLING,19866.33929,1457.034925,10150.44123,723.8202002,1102.672771,4093.650804,Census Tract 84,17.9,60514,27.3,17.1,53.2,1.7,45.77114428,3.48258706
73,MODELLING,3480.362716,1000.428847,2082.796367,865.7551089,626.3166683,5707.329746,Census Tract 15,67.1,238155,75.3,39,89.5,66.3,33.21410322,15.96831886
74,MODELLING,19745.82403,1578.74968,5225.915301,367.9351839,261.9140338,6807.636458,Census Tract 178,16.2,40833,36.7,14.7,24.4,20.8,93.67945824,3.66817156
75,MODELLING,28801.89775,1385.689162,6412.229749,1700.00695,404.8260754,337.7054745,Census Tract 293,18.1,69615,6.9,21.4,45.3,24.6,21.12676056,2.72087068
76,MODELLING,34011.9768,1673.586106,7401.560892,1194.161199,1383.214739,4742.939903,Census Tract 300,16.8,64874,24.9,9.7,37.3,14.1,23.86451116,1.92455735
77,MODELLING,8591.902442,2785.616274,2490.380828,1609.724376,70.71937171,1591.821974,Census Tract 109,23.8,53637,41.1,16.5,48.2,15.3,8.95255148,0.89525515
78,MODELLING,37075.59715,11283.46964,11980.69885,705.7800655,891.727725,5642.002363,Census Tract 253,32.4,69582,43.1,16.6,58,11.6,4.72589792,2.12665406
79,MODELLING,33445.24986,20020.65514,3102.386704,1112.713238,916.8444486,2900.079506,Census Tract 213,53.4,139888,61.3,29.4,77.6,81.1,12.82051282,4.40705128
80,MODELLING,32547.24971,21525.34474,4306.247007,1878.701574,594.3929703,778.3847844,Census Tract 214,72.1,169743,64.6,42.7,88.2,84.8,3.97877984,0.99469496
81,MODELLING,34106.50293,22000.20437,3964.698522,1470.781191,614.2361799,1981.105848,Census Tract 215,69.8,145885,64.4,34.8,80.9,70.2,12.26158038,2.38419619
82,MODELLING,29351.54573,17099.70325,1443.115066,1159.552975,1299.04186,2463.543817,Census Tract 210,53.9,124557,64,24.1,88.6,81.4,7.75193798,2.21483942
83,MODELLING,28547.33887,2341.682038,4031.623525,840.5919046,349.5731216,8670.949509,Census Tract 280,9.3,90127,48.7,15.3,47.2,1.1,36.03603604,2.81531532
84,MODELLING,5755.033875,2125.176167,4066.229192,1069.814571,66.9310678,4124.26115,Census Tract 135,84.3,223891,74.5,34.9,92.4,76.9,16.21621622,2.45700246
85,MODELLING,31324.69312,6513.585594,6901.95588,1892.103642,1685.310004,5887.929619,Census Tract 247,18.3,58534,27.5,10.7,43.9,4.2,23.05159166,4.66520307
86,MODELLING,40517.06547,9997.341336,10849.79417,778.8554662,896.9038177,4969.103077,Census Tract 264,17.3,77995,30.1,9.6,52.3,1.2,9.24415443,0.40783034
87,MODELLING,37296.79581,5889.88478,6736.382584,1578.698374,1467.522603,6352.266814,Census Tract 267,13.3,65363,27.2,20.2,47.1,0,14.9870801,0.25839793
88,MODELLING,17477.21074,1525.553359,4219.503138,663.9734097,921.5106644,3511.591291,Census Tract 176.01,4.2,29983,7.5,3.7,17.5,5,76.05633803,4.69483568
89,MODELLING,7901.546946,1906.887139,2800.592449,1264.669636,887.33049,2568.150079,Census Tract 142.01,80.1,218310,72.1,38.9,95.6,78.2,9.63275135,1.80614088
90,MODELLING,20277.71778,3308.887344,10495.49525,1716.719153,884.9773865,4849.718582,Census Tract 102,15.9,53175,32.3,9.9,47,0.5,22.03856749,2.58264463
91,MODELLING,6353.577822,4015.316086,3010.03564,736.1114144,367.1841009,1809.870457,Census Tract 16,81.2,370103,72.7,49.7,92.5,85.8,42.33409611,29.46224256
92,MODELLING,38861.34028,23580.49179,2197.391807,2072.374288,1570.562209,1271.163881,Census Tract 217,49.1,117416,50.1,14.5,78.6,80.3,6,2.66666667
93,MODELLING,31967.81251,17862.8672,1344.656456,2834.498463,694.5795342,1717.377409,Census Tract 212,55.2,127952,62.2,19.6,79.1,81.1,8.06451613,1.61290323
94,MODELLING,14981.20288,3364.928356,3719.305976,808.5780425,784.4156208,1143.76569,Census Tract 164,2.7,43670,10.5,8.5,16.3,0.9,60.84656085,3.74779541
95,MODELLING,12449.07212,2136.337346,4155.843091,2018.882912,594.6781087,3555.375935,Census Tract 377,14.3,58137,24.9,27.8,64.9,35,17.02417433,2.63874702
96,MODELLING,30172.12527,18479.06225,1847.480776,1407.650781,613.8355549,1708.831927,Census Tract 210,53.9,124557,64,24.1,88.6,81.4,13.0952381,2.67857143
97,MODELLING,14355.90984,644.3677945,1113.114207,1152.960108,485.1906808,3787.010161,Census Tract 162,26.9,95744,26.3,25,43.2,7.9,49.80842912,7.98212005
98,MODELLING,44096.03434,18771.03123,5148.819053,2202.974841,535.7356537,1331.955684,Census Tract 257,61.2,157992,65.8,34.7,74.1,51.4,4.84848485,5.45454545
99,MODELLING,49791.45492,24940.90254,1592.569175,1470.709806,2642.625025,201.671259,Census Tract 387,77.9,259016,67.4,37.2,89.1,74.8,0.52328624,1.70068027
100,MODELLING,5537.424223,1867.991026,2633.849466,1003.124669,416.3931836,1444.024405,Census Tract 10.02,84.3,303459,82.8,36.4,88.3,85.7,30.10577705,5.08543531
101,MODELLING,20725.7547,2877.995088,10438.45896,1855.558709,241.5887759,4091.158387,Census Tract 102,15.9,53175,32.3,9.9,47,0.5,39.5480226,4.94350282
102,MODELLING,21422.06278,602.6280253,11294.31468,603.4358915,1516.000355,2388.718416,Census Tract 95,8.6,44069,7.2,7,39.8,0.9,73.29842932,4.79930192
103,MODELLING,19599.44017,2717.142852,9790.879231,2552.449506,947.2282949,5032.842653,Census Tract 102,15.9,53175,32.3,9.9,47,0.5,22.03856749,2.58264463
104,MODELLING,6809.114631,1819.882205,3664.257831,647.5920965,246.7460612,5432.359396,Census Tract 23,64.8,179538,62.4,31.6,75.9,71.4,40.4432133,15.65096953
105,MODELLING,51456.63252,19015.24565,5330.153313,2341.28292,1112.001975,660.6874507,Census Tract 340,29,133843,40.9,10.5,73.2,59.4,5.3667263,0.89445438
106,MODELLING,21463.63111,264.9772849,4596.284432,893.3335956,1290.642284,6622.7574,Census Tract 177.01,8.6,44106,22.1,3.8,15.1,9.3,47.65146358,2.04220558
107,MODELLING,39343.88306,9616.984126,830.4589467,1199.949282,1685.397989,3401.755116,Census Tract 306,17.5,118331,31,11.1,68,34.5,21.87902188,4.5045045
108,MODELLING,53102.81504,17928.27996,3012.445072,552.5158088,654.3972317,1243.134086,Census Tract 347.01,32,113537,36.1,4.7,63.1,52.4,2.22882615,0
109,MODELLING,54836.53445,20307.54325,5578.130008,2927.58235,649.6809703,998.9051367,Census Tract 337.01,26.6,85540,29.7,6.6,55.1,45.7,3.04506699,0.6090134
110,MODELLING,21405.43005,8213.855547,7191.505323,1140.952831,452.2702855,2913.183433,Census Tract 119,20.6,86133,44,19.6,69.8,5.6,5.18672199,1.0373444
111,MODELLING,31049.0626,1563.82828,773.7839487,1598.460973,1055.261241,5635.933936,Census Tract 282,8.1,49942,17.1,23.7,41.4,3.2,16.29327902,1.6293279
112,MODELLING,22403.95405,3221.670232,3503.167347,1570.913746,831.8112368,6337.001743,Census Tract 198,16.2,47925,22.9,9.5,29.9,3,36.96303696,1.24875125
113,MODELLING,35682.90993,9830.956512,10495.31877,769.7590516,355.7880813,6206.167502,Census Tract 252,22.1,54541,29.9,21.1,46.5,8,10.53555751,1.75592625
114,MODELLING,34796.21182,3127.396523,5441.701944,792.563657,905.0104397,1374.241562,Census Tract 274.02,5.1,91544,19.8,10.5,44.7,7.8,9.45945946,0.56306306
115,MODELLING,5545.751891,3928.370755,2285.286388,443.7216407,637.5935363,2983.067826,Census Tract 17,86.1,275941,78.1,47.4,92.4,70.4,27.5944811,15.74685063
116,MODELLING,19625.85144,1958.855085,6193.729265,803.8081788,1275.363961,5831.930697,Census Tract 178,16.2,40833,36.7,14.7,24.4,20.8,84.60471567,4.50762829
117,MODELLING,38066.82138,12397.8288,11695.61512,1162.232331,315.9986058,5221.743313,Census Tract 253,32.4,69582,43.1,16.6,58,11.6,4.06504065,4.74254743
118,MODELLING,20158.4884,5180.986677,3104.511601,731.6014071,301.965515,3985.496807,Census Tract 195.02,7.8,45475,32.3,5.4,15.8,2.6,49.18032787,3.1340405
119,MODELLING,6428.708387,1981.351106,4640.275907,1502.269513,292.976449,4888.713342,Census Tract 135,84.3,223891,74.5,34.9,92.4,76.9,16.21621622,2.45700246
120,MODELLING,5610.256475,1147.136442,3999.49935,1055.959649,560.9827767,4967.468251,Census Tract 133,75.1,193487,66.1,30.5,88.3,50.9,19.48924731,4.36827957
121,MODELLING,37335.32251,5847.189452,6690.130024,1701.59276,1363.554717,6152.085829,Census Tract 267,13.3,65363,27.2,20.2,47.1,0,14.9870801,0.25839793
122,MODELLING,47178.51162,23004.71681,1081.549166,926.8868083,1364.370246,1459.604442,Census Tract 385,75.6,286356,61.2,35.7,83.1,88.3,2.31124807,2.11864407
123,MODELLING,45359.21696,21549.1036,2901.023351,1794.311733,411.3208145,825.7972908,Census Tract 385,75.6,286356,61.2,35.7,83.1,88.3,6.62251656,5.3807947
124,MODELLING,22308.40026,5022.247253,8281.91625,226.546673,1372.708204,5111.90844,Census Tract 112,12,54404,22.5,8.1,43.5,0.4,40.54054054,3.07125307
125,MODELLING,4524.419504,2778.402285,1534.553609,1221.650899,197.8297698,3977.004522,Census Tract 15,67.1,238155,75.3,39,89.5,66.3,49.38271605,27.26337449
126,MODELLING,5662.357665,4069.829868,2379.862614,290.2415514,549.8387703,2831.152754,Census Tract 17,86.1,275941,78.1,47.4,92.4,70.4,27.5944811,15.74685063
127,MODELLING,5040.987336,3137.901509,2021.230941,994.5876188,188.8260823,3811.585353,Census Tract 18,80.1,261624,80.1,44.5,89.4,73.3,38.77366997,25.24797115
128,MODELLING,20262.95821,4020.459432,8061.410148,1464.376094,711.721851,3563.016655,Census Tract 180.02,29.7,79192,31.5,11.1,74.7,72.6,21.61828289,1.85299568
129,MODELLING,37165.53532,12168.3317,11146.91589,524.3709766,1280.744105,4669.918584,Census Tract 253,32.4,69582,43.1,16.6,58,11.6,5.79710145,2.65700483
130,MODELLING,33979.11575,22874.52146,5037.923814,423.0836587,367.5738618,737.1411906,Census Tract 215,69.8,145885,64.4,34.8,80.9,70.2,2.54237288,0.42372881
131,MODELLING,36692.91613,6057.48473,6904.355303,1221.50358,978.3823999,7659.169234,Census Tract 277,10.8,55345,31.2,15.3,50.3,2.4,34.58213256,0.7204611
132,MODELLING,34014.14122,5832.222294,6516.417036,1080.592413,1100.304761,8019.371574,Census Tract 247,18.3,58534,27.5,10.7,43.9,4.2,24.89177489,2.43506494
133,MODELLING,37117.45767,6014.881414,6867.233143,1136.596451,1751.160703,6895.59487,Census Tract 267,13.3,65363,27.2,20.2,47.1,0,14.9870801,0.25839793
134,MODELLING,24835.67971,4944.774482,3968.439746,1096.32855,2572.741656,6302.425581,Census Tract 383.01,10.4,47841,10.4,6.2,20.4,6.7,41.71240395,2.46981339
135,MODELLING,6149.836629,689.6579764,3704.276549,501.9818784,637.0578756,6377.650651,Census Tract 23,64.8,179538,62.4,31.6,75.9,71.4,53.33333333,24.88888889
136,MODELLING,34979.66089,2019.866452,4565.784723,767.7539819,269.0695915,1251.011014,Census Tract 275,19.7,81667,29.4,13.1,48.9,3.4,15.96071209,0.76734193
137,MODELLING,13340.52525,5357.569741,6050.66706,731.5758033,432.6725777,3896.764801,Census Tract 42.02,22.5,86882,30.4,10.6,59.1,60.9,42.27642276,3.65853659
138,MODELLING,52587.63624,19744.95567,6660.179107,3545.855857,336.7992795,541.4339444,Census Tract 342,39.8,100474,46.5,14.2,79.5,64.7,1.80423996,0
139,MODELLING,70540.79775,36618.53491,14810.84642,1976.279918,1146.250935,1443.140349,Census Tract 358,37.9,86877,36.8,2.7,68.9,66.1,3.48634515,1.16211505
140,MODELLING,45495.63866,17576.81566,7714.326271,3388.393289,1672.260689,219.4654499,Census Tract 258,25.2,101061,43.7,22.1,47,4.4,6.17283951,1.38888889
141,MODELLING,16727.51879,2100.094565,6905.167419,913.7582194,473.6445102,5543.268437,Census Tract 104,12.8,32701,26.3,26.4,41,3,18.54395604,3.43406593
142,MODELLING,46378.86282,12199.05602,9080.967352,255.7600107,976.1617278,4063.101685,Census Tract 330,21.4,78458,28.8,8.5,47.7,31.6,49.34687954,5.80551524
143,MODELLING,28423.53971,6450.764259,6463.808302,1835.034863,1184.683619,3405.081878,Census Tract 288,8.7,39976,24.3,9.7,34.9,6.3,40.4290429,3.50660066
144,MODELLING,11355.86117,6634.933194,6374.70026,2360.360459,594.5116286,3993.016794,Census Tract 36,15.6,57174,33.7,4.3,36.8,17.3,19.62616822,1.1682243
145,MODELLING,33236.3688,1245.544512,1933.239279,431.0133348,1554.601052,4721.940901,Census Tract 276,19.9,67633,26.4,12.2,48.6,1.6,28.89576883,2.8379773
146,MODELLING,37805.28388,9977.937128,1187.210554,1220.320391,397.6557586,2751.55276,Census Tract 305.01,10.1,55643,19.1,10.3,34.9,7.2,8.11618966,0.85433575
147,MODELLING,30035.57671,5407.495313,2593.880278,2187.261518,286.0539456,610.3729404,Census Tract 375,49.5,143777,57.5,26.5,71.6,42.5,10.74053137,2.40248728
148,MODELLING,26360.50613,4252.421287,5126.897407,571.7274143,876.6854765,1237.182462,Census Tract 115,28.2,105766,34.8,8.5,74.6,6.9,22.36842105,1.64473684
149,MODELLING,18379.37461,8515.652273,8441.827677,243.7134555,788.2951339,2460.310266,Census Tract 71.01,12.1,46711,31.1,10.7,40.6,6.6,33.40292276,3.65344468
150,MODELLING,17823.72838,1857.660894,8032.817941,681.749077,676.2488291,5991.204312,Census Tract 85,21.3,60689,38.8,21.4,58.3,10.1,38.98305085,4.44915254
151,MODELLING,69358.61694,35182.15027,15258.59405,1426.085772,1222.029812,909.7037911,Census Tract 357.01,37.7,93503,22.2,5.8,44.7,48.1,4.39882698,0.36656891
152,MODELLING,48633.98955,15027.8489,10162.40616,689.8858987,676.8452442,1139.601539,Census Tract 329,22.4,67986,38.6,4.7,57.1,42.3,11.52737752,1.92122959
153,MODELLING,74432.46877,39242.22077,6749.888236,2185.283511,999.0726722,1512.364716,Census Tract 363.02,23.6,83011,31.8,7.3,66.6,62.8,2.14362272,0
154,MODELLING,66848.72145,31803.90222,3192.948722,1850.897524,173.1209988,1125.888296,Census Tract 362.01,26.7,125724,39.2,13.5,71.6,82.8,2.65017668,0.88339223
155,MODELLING,75475.11307,40454.23927,7241.467845,1609.228903,972.5661489,1195.679721,Census Tract 363.01,25.3,115813,29.6,8.4,56.8,59.4,4.58949516,1.52983172
156,MODELLING,75883.69815,40843.61161,6732.176755,1468.198967,585.3401348,915.6227019,Census Tract 363.01,25.3,115813,29.6,8.4,56.8,59.4,4.58949516,1.52983172
157,MODELLING,26019.14869,17433.99358,9154.206199,1488.211345,722.8402171,1548.71842,Census Tract 60,18.2,61332,29.7,4.2,66.5,9,19.17545542,0.23969319
